2025	3	0.000
2024	11587	1.041
2023	163545	14.693
2022	176853	15.888
2021	147710	13.270
2020	109590	9.846
2019	92087	8.273
2018	64525	5.797
2017	44322	3.982
2016	33470	3.007
2015	29760	2.674
2014	22986	2.065
2013	17792	1.598
2012	15925	1.431
2011	16364	1.470
2010	16629	1.494
2009	17093	1.536
2008	17563	1.578
2007	15765	1.416
2006	13842	1.244
2005	14034	1.261
2004	10492	0.943
2003	7738	0.695
2002	7324	0.658
2001	4267	0.383
2000	5663	0.509
1999	4797	0.431
1998	4019	0.361
1997	3636	0.327
1996	2785	0.250
1995	2999	0.269
1994	2527	0.227
1993	2850	0.256
1992	3379	0.304
1991	2959	0.266
1990	1845	0.166
1989	1311	0.118
1988	428	0.038
1987	430	0.039
1986	363	0.033
1985	360	0.032
1984	241	0.022
1983	192	0.017
1982	138	0.012
1981	114	0.010
1980	102	0.009
1979	74	0.007
1978	76	0.007
1977	71	0.006
1976	52	0.005
